Name,GameName,TagLine,Twitch,Total,OnStream,OffStream,Unknown,PctTotal,Result
PRESTIVENT,VIT prestivent,123,prestivent,139,51,88,0,36.69%,FAIL
SETSUKO,vit setsuko,na2,setsuko,121,0,121,0,0.00%,FAIL
ROBIVANKENOB,robivankenob,NA1,robivankenob,196,136,60,0,69.39%,PASS
GUUBUMS,guubums,1874,guubums,227,172,55,0,75.77%,PASS
MARCELP_TFT,CTG Marcel P,NA2,marcelp_tft,82,32,50,0,39.02%,FAIL
DISHSOAP,100t Dishsoap,NA2,dishsoap,126,54,72,0,42.86%,FAIL
WASIANIVERSON,Wasianiverson,NA2,wasianiverson,104,65,39,0,62.50%,PASS
BOSSOSKILLS,bossoskills,na1,bossoskills,180,0,180,0,0.00%,FAIL
CHECHETFT,Cheche,SK1,chechetft,209,0,209,0,0.00%,FAIL
MILALATFT,milala,milal,milalatft,111,0,111,0,0.00%,FAIL
ME1STOR8TH,me1stor8th,518,me1stor8th,116,45,71,0,38.79%,FAIL
EUSOUOLUCASTFT,TL eusouolucas,2222,eusouolucastft,144,27,117,0,18.75%,FAIL
JAZLATTE,jazlatte,NA1,jazlatte,102,86,16,0,84.31%,PASS
CAMBULEE,Cambulee,tft,cambulee,125,81,44,0,64.80%,PASS
CMBQAQ,samambaia1,na122,cmbqaq,143,25,118,0,17.48%,FAIL
KURUMX,kurumx,freak,kurumx,95,71,24,0,74.74%,PASS
QUINTANIILHA,tow mater,1919,quintaniilha,178,112,66,0,62.92%,PASS
SAINTVICIOUS,liquidsv,na1,saintvicious,175,96,79,0,54.86%,PASS
IMRIVETING,imriveting,NA1,imriveting,158,60,98,0,37.97%,FAIL
BROSEPHTFT,Broseph,LAB,brosephtft,85,46,39,0,54.12%,PASS
FRANKIEDOODLE7,FrankieDoodle,NA1,frankiedoodle7,180,83,97,0,46.11%,FAIL
PANCHE3E,panche3e,plink,panche3e,136,25,111,0,18.38%,FAIL
SPENCER_TFT,100t spencer,tft,spencer_tft,122,55,67,0,45.08%,FAIL
LEOFLORESDC,MJS Leofloresdc,Dscrd,leofloresdc,182,0,182,0,0.00%,FAIL
149CMTFT,149cm,149,149cmtft,139,0,139,0,0.00%,FAIL
UPSETMAXTFT,upsetmax,NA2,upsetmaxtft,100,0,100,0,0.00%,FAIL
